id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,
1071828,1510-04-04,"Grieken, van","Aernt van Grieken heeft in erfpacht genomen van de gasthuismeesters van St Katrinengasthuis te Leiden, 10 morgen land in Zoeterwoude voor 10 enkele gouden Philippus gld per jaar",Inv Gasthuizen Leiden regest 966,,,,
1071829,1511-06-16,"Grieken, van","leen van de hofstede Warmond: 2 morgen in Hazerswoude, Arnoud van Grieken bij opdracht door Dirc Hughenz, waarna overdracht aan Jan Dircsz",Ons Voorgeslacht jg 1980 p 688,,,,
1071830,1512-07-28,"Grieken, van","Claes Jacobsz van Griecken wordt beleend met 8 morgen in het ambacht van Alphen aan de oostzijde van de Goude, belend naast zeezijde: Vrancke Noert en Heijn Noert, zo ver als Jan Maes huijsweer uitgaat, tot aan Roever Hermansz, oost: Pieter die Roeper, zuid: de toeganck [coeganck ?], hem aangekomen na dode van zijn oom Jacob van Grieken; 1512-09-30: draagt hij dit leen over aan Aerndt van Grieken","R.A.H. Coll Aanw 113 fol 132v, 138",,,,
1071831,1513-02-27,"Grieken, van","leen van de hofstede Warmond: Woubrugge, 1/5 van het leen ""de Korte Venne"" groot 10 morgen in het ambacht van Woude: -Arnoud van Grieken bij overdracht door Allard Dirksx; - 1514-11-06: Dammas van Grieken bij overdracht door zijn vader Arnoud; 1533-06-04: idem; - 1567: Hendrik Jansz Haeck bij verzuim door Pieter Damasz van Grieken",Ons Voorgeslacht jg 1980 p 737,,,,
1071832,1514-12-06,"Grieken, van",leen van de hofstede Warmond: 1 hont in Eslikerwoude: Dammas Arnoutsz van Grieken bij overdracht door Rudolf Jansz,Ons Voorgeslacht jg 1980 p 756,,,,
1071833,1514,"Grieken, van","Aernt van Grieken, 57 jaar, schout, verder de ambachtsbewaarders en bedegaerders in Alckemade, Reynsaterwoude en Leymuiden; akte 1514-08-20 met fragment van zijn zegel","Informacie op t stuck van de Verponding 1512 p 290, Inv Gasthuizen Leiden regest 1871",,,,
1071834,1515-06-11,"Grieken, van","Aernt van Griecken en Wyen Dammasdochter ontvangen octrooi om te testeren, zij zijn 35 jaar getrouwd en hebben 6 kinderen",R.A.H. Coll Aanw 117 p 151,,,,
1071835,1518-07-15,"Grieken, van","leen van de hofstede Warmond: 2 morgen in Rijnsaterwoude tussen de weg en het meer, Arnout van Grieken bij overdracht door Simon Adriaensz, te komen op zijn dochter Jacob van Grieken; 1518-10-13: Willem Symonsz bij overdracht door Arnout van Grieken",Ons Voorgeslacht jg 1980 p 712,,,,
1071836,"1525, 1529, 1530","Grieken, van","lijst van welgeborenen van Rijnland: 1525 Gerrit van Grieken, 1529: Borrit van Grieken, 1530: Thomas van Grieken",Lijst Welgeborenen Rijnland,,,,
1071837,1533-11-12,"Grieken, van","leen van de hofstede Warmond: Eslikerwoude, 1 morgen land in heer Jacobswoude: - Dammas Arnoutsz van Grieken bij overdracht door Jan Clemensz; -1545-08-12: Cornelis van Grieken bij overdracht door zijn vader Dammas; - 1555-11-29: Jan Dammasz van Grieken bij overdracht door zijn broer Cornelis; - 1561-07-04: Arnout Dammsz van Grieken bij overdracht door Cornelis Damasz van Grieken; - 1569-10-29: Frans Dirksz van Leimuiden bij overdracht door Arnout Dammasz van Grieken; - 1571-12-16: Hubert, zoon van Pieter Dammas van Grieken bij overdracht door Frans Dirksz, belend: Cornelis Dammasz van Grieken; - 1578-12-07: Frans Dircsz bij overdracht door Hubert Pietersz van Grieke, ten noorden in 1571 belend door Agatha Alewijnsdochter, weduwe van Pieter Dammas",Ons Voorgeslacht jg 1980 p 753,,,,
1071838,1546-02-19,"Grieken, van","notaris Theodricus de Schoerle instrumenteert dat Elisabeth Dircksdochter en Cornelia Jacobsdochter van Griecken, bagijnen, verklaard hebben, dat Guert Jan Hughenzdochter aan het begijnhof te Haerlem beloofd hebben een stuk land in de ban van Heemskerc gezamenlijk bezit met de commanderij van St Jan te Haarlem",Bisschoppelijk Oud Arch Haarlem regest 418/Oorspr Inv no 391,,Haarlem (niet gecoll),,
1071839,1546-03-23,"Grieken, van","vermeld: Berwout van Grieken; diens dochter Neeltje Berwoutsz van Grieken huwde met Claes Berwoutsz, vermeld 1553-05-11. Deze hadden Berwout Claesz van Grieken, die de vader was van Claes Berwoutsz van Grieken, genoemd 1565-09-30 en vader van Claes Berwoutsz van Grieken, geboren 1568, beleend 1611-03-08 - 1622",Wapenheraut jg 1902 p 285,,,,
1071840,1549-11-30,"Grieken, van","Borwout Aerntsz van Gryecken, schout van Alckemade, oorkondt een verkoop; met zijn zegel",Arch Kloosters Leiden regest 2576,,,,
1071841,1556-04-20,"Grieken, van","huwelijksvoorwaarden-gemeenschap van winst en verlies: Ghijsbrecht Aerntsz van Griecken, eiser, is zijn dingtaal op de gearresteerde goede, aankomende de erfgenamen van wijlen zijn vrouw Margrijete Zegersdochter; zij overleed zonder wettige kinderen, en Gijsbrecht stelt dat zijn eigen goederen alleen verbruikt zijn en die van Margrijete nog ongeschonden zijn; uitspraak op 10 juni d.a.v. dat haar erfgenamen aan Gijsbrecht 25 Kar gld moeten betalen",Kenningboek der Stad Leiden 1553-1570 p 43-45,,,,
1071842,1559-1560,"Grieken, van","Johannis Grijcken zoon van Nicolaas ad vicariam St Nicolas et Annae in par ecc de Beverwijk, vacantem per liberam resignationem Fredericus de Egmont",Reg Paroch Altaren en Bedienaars dl II p 43,,,,
1071843,1560-05-16,"Grieken, van",Aernt van Jaersvelt en zijn vrouw Barbara Jacobsdochter van Griecken betrokken bij de verkoop van een huis in de stad Utrecht,Wapenheraut jg 1903 p 507,,,,
1071844,1566-07-31,"Grieken, van","Pieter van Griecken, Amsterdammer, van beroep schipper en ijverig de Hervorming toegedaan; 1567: bij de komst van Lava gevlucht naar de Watergeuzen; 1571-11 lag hij voor Dover als kapitein van een hulk",Nieuw Ned Biogr Woordenboek dl VIII p 633,,,,
1071845,1568-04-08,"Grieken, van","eis tegen medeerfgenaam tot betaling van zijn deel in een nagekomen vordering op de nalatenschap van Cornelis Dammisz van Grieken c.s. tegen Cornelis Cornelisz, man van Zyburch Dammisdochter",Kenningboek Stad Leiden 1553-1570 p 164 no 340,,,,
1071846,1575-1582,"Grieken, van","Beernt van Jairsfelt, schepen, Raad en Kam der stad Utrecht, gehuwd met Barbara Jacobsdochter van Griecken, weduwe van Johan Cornelis van Rosenborch",Ned Leeuw jg 1913 p 118,,,,
1071847,1577-07-10,"Grieken, van","Jan van Grieken, goudsmid, belend te Alkmaar (310 fol 60); ook 1582-08-31 (311 fol 53), 1582-05-26 (132 fol 72) Jan Jansz van Grieken, goudsmit, belend; 1586-01-05 (132 fol 172v): belend","O.R.A. Alkmaar 310 fol 60, 311 fol 53, 132",,,,
1071848,1582-01-17,"Grieken, van","Jan Jansz van Grieken, goudsmid, koopt huis en erf te Alkmaar aan de noordzijde van de Langestraat (132 fol 46) en verkoopt aan de koper een ander huis en erf; 1589-04-24: verkoopt huis en erf te Alkmaar (133 fol 219v)","O.R.A. Alkmaar 132, 133",,,,
1071849,1586-06-09,"Grieken, van","Jan Gerritsz Waterman beleend met ½ morgen te Abenes; hij overleed in 1600, zijn vrouw Claesje Barthoutsdochter [van Grieken ?] komt 1600-01-11 voor; op 1603-05-27 komt de halve morgen van haar op Dirk van Grieken",Wapenheraut 1902 p 83/Leenboek Oud Alkmade te Warmond,,,,
1071850,1598-11-02,"Grieken, van","leen van Vianen: no 709) in Outena 2 morgen, Antonis Boterpot na lossing door Sibilla, dochter van Leendert van Groenewoud, van Ricoud Bosman, voor Marijke van Beesd; bevestigd door Dirc van Grieken, man van Sibilla, omdat behoorde aan Leendert van Groenewoud; belend boven: Trijntje Dobbe, beneden: het Apostelengasthuis te Utrecht",Ons Voorgeslacht 07-1988 p 320,,,,
1071851,1598,"Grieken, van","Dirk van Grieken;  1603-05-27 baljuw van Hoogmade, huwde 1598 Sybilla van Groenewoude, dochter van Lenard van Groenewoude en Willemina van Brakel. Dirk was schout en baljuw van Hoogmade en Koudekerk aan de Rijn, overleed 1623-06-30, 50 jaar oud; Sybilla overleed 1642-02-20, 69 jaar oud, beiden begraven te Hoogmade, met hun wapen op het graf. Dochter Anna van Grieken trouwde in 1621 Johan van Atteveld, zij overleed 1680-08-10, oud 80 jaar en Johan overleed 1674-02-04, 79 ? jaar oud; de kinderen van Dirk en Sibilla waren Elisabeth, Gerrit, Helena, Maria, Jannetgen en Willemina, woonden in 1622 in Hoogmade","Wapenheraut jg 1903 p 507, jg 1909 p 262/Ned Leeuw jg 1913 p 70",,,,
1071852,1609-10-15 - 1611-05-21,"Grieken, van",request van Reynout van Oyen te Leiden over Dirk van Grieken uit Hoogemade,Navorscher 1895 p 195/Extract Criminele Ordonnantien Holland,,,,
1071853,1618-01-09,"Grieken, van","leen van de hofstede Warmond: - 2 ½ morgen in Alkemade tussen de Zever en de Kever, belend oost: Cornelis Pietersz Koeswart, west: de Cruijpsloot, Dirk van Grieken, baljuw en schout van Hoogmade en Koudekerk draagt dit leen over  aan Maurijn Jansz te Nieuwe Wetering; - 3 morgen in Alkemade aan de nieuwe Wetering, belend zuid: Dirk van Grieken, oost: de nieuwe Weteringdijk, west: Pieter cornelisz en Albert Anthonsz, noord: Mauryn Jansz, de leenman","Ons Voorgeslacht jg 1980 p 655, 664",,,,
1071854,1620-05-25,"Grieken, van","leen van de hofstede Warmond: - 3 morgen in Alkemade in Roelof Arendsveen, Adriaen Willemsz van Grieken, baljuw van Alkemade en Ewout Jacobsz van Grieken, schout van Alkemade, na overdracht door oude Pieter Gerritsz; - een houtacker,  1 hont, Adriaen van Grieken Willemsz, baljuw van Warmond; - 1636-09-17: Hugo van Grieken bij doede van zijn vader Adriaan, Hugo draagt het leen over; 1620: Adriaan van Grieken belend","Ons Voorgeslacht jg 1980 p 674, 675, 676",,,,
1071855,1620~,"Grieken, van","geboren te Amsterdam: Gerrit Pietersz van Grieken, kistenmaker, woont 1645 Goudsbloemstraat, 1648 en later Nieuwe Houttuynen, trouwt 3x: Niesgen Reyners, Maritje Gysberts Hol, Maria Cornelis; zoon Cornelis van Grieken, geboren Amsterdam 1676, victualienkoper x Josina Cornilje, dochter Hermina van Grieken x Pieter Croos",Ned Leeuw jg 1941 p 163,,,,
1071856,1622-04-24,"Grieken, van~","gehuwd Geref Warmond: Leendert Dammisz, jongeman en Pietertje Feutien, jongedochter; 1627-12-20: Engel Dammisz, jongeman x Machtelt Jansz",Reg Warmond no 1,,,,
1071857,1623-02-11,"Grieken, van","huwelijksintekening : Helena van Grieken, weduwe van Jacob Jansz te Leiden, met Johannes van Bouchem, student van Aken, te LEiden",G.A.Leiden DTB,,,,
1071858,1624-02-02,"Grieken, van","Adriaen van Grieken, baljuw en schout van Warmond",Ons Voorgeslacht jg 1980 p 690,,,,
1071859,1624-04-27,"Grieken, van","compareerde Sibilla van Groenewout, weduwe en boedelhoudster van wijlen Dirc van Grieken, in zijn leven baljuw en schout van Hoogmade",Ned Leeuw jg 1913 p 70/Notaris Paets Leiden regest 184,,,,
1071860,1629-06-08,"Grieken, van","Thonis Jacobsz Grasboer, houtzager, man en voogd van Teuntgen Dammsdochter, medeerfgename van Adriana Adriaensdochter van Grieken, transporteert aan Cornelis Dircsz van Grotelande, notaris, de rest van de erfenis hem aangekomen van voornoemde Adriana, voor de som van 40 gld",G.A.Amsterdam Not Arch 398 fol 473/Notaris Nic Jacobsz,,,,
1071861,1631-07-26,"Grieken, van","testament van Antoni van Griecken en Annetjen Vechtersdochter, echtelieden, mutueel testament met hun beider handtekeningen",G.A.Leiden Not Arch no 374 akte no 46,,,,
1071862,1633-02-13,"Grieken, van","gedoopt Nieuwe Kerk Amsterdam: Rijckje, dochter van Otto van Griecken en Grietje Sijwers, getuige: Maritje Henrix",G.A.Amsterdam DTB 41 fol 119,,,,
1071863,1634-05-06,"Grieken, van","gehuwd: Cornelia van Griecken, dochter van Jan van Griecken en Heyltie van Swanenburg, te Leiden ?, met Jacob Jorisz van Velden, geboren 1602-02-13; 1641-09-21: gehuwd voor schepenen van Leiden: Maria van Griecken x Arnoud Claes Claesz van Meerburg genaamd van Leeuwen, een rijk brouwer te Leiden, woonde te Zoeterwoude","Ned Leeuw jg 1924 p 197, jg 1926 p 118",,,,
1071864,1638-02-06,"Grieken, van","Claes Jansz Schellingerhout, schout, Cornelis Damiisz van Griecken en Floris Gerritsz Hals, ambachtsbewaarders van Oudshoorn","Regt ""Inv Oud Archief der gemeente Alphen, hs Alphen I afd IX Kerkelijke Zaken, d. Begraven",,,,
1071865,1642-02-20,"Grieken, van",akte van transport voor het gerecht van Warmond van een partij weiland tbv de weeskinderen van Simon Willeboortsz en Leentgen Adriaensdochter van Griecken (1 charter),A.R.A. Jaeger 1968 no 321c p 90 Hs 3e afd,,,,
1071866,1642-11-25,"Grieken, van","huwelijk: - Cornelis Dammasz van Grieken x Appolonia Jansdochter, jongelieden van der Aar;  -1658-12-14: Jan Dammisz van Grieken, jongeman van der Aer x Grietje Floris, jongedochter van Haerlem; - 1658-10-01: Pieter Maertensz van Swieten, jongeman en Trijntje Dammisz van Grieken, jongedochter, beide van der Aer; - 1659-09-14: Willem Dammisz van Griecken, jongeman en Martygen Cornelis, jongedochter;  - 1675-02-19: Dammis Cornelis van Grieken, jongeman van der Aer met Marritie Maertens Verbrieghe, jongedochter",Schepentrouwboek Ter Aer no 7,,,,
1071867,1646~,"Grieken, van","request van Maerten Willems van Griecken, molenaar te Leyderdorp, aan de burgemeesters van Leiden, om de bakkers en ingezetenen van Leiderdorp te dwingen hun koren op zijn molen te laten malen",Arch Stadsheerlijkheden Leiden mr Overvoorde Inv no 167,,,,
1071868,1645-1668,"Grieken, van","Warmond: - lidmaat Geref Kerk Leendert Dammisz, gestorven 1655, en zijn vrouw; Geref Doopboek: kinderen van Dammis Cornelisz [Boon] en Jorisse Cornelisdr, Dammis Janse en Jannetge Sarelsdochter, Dammis cornelisz [Boon] en Willemtge Huygen, Dammis Leenderts [van Grieken] en Dirckje Christiaens; Trouwboek: diverse huwelijken: Jan Pietersz Huyg en Maertje Jans an Griecken, Heyndrik Cornelisz an Leeuwen en Annetjen Engels van Grieken, Jan Engelsse van Griecken en Jannetje Benjamins en vele andere","DTB Warmond Geref Doopboek no 2, idem Trouwboek no 2",,,,
1071869,1656-05-06,"Grieken, van","Victor van Grieken, geboren te Leiden x te Leiden met Margaretha Steen, wonende in de Haarlemmerstraat",Ons Voorgeslacht 1976 p 125,,,,
1071870,1660-04-17,"Grieken, van","Anthony van Grieken bezit land te Rijnsburg, tussen de Koestraat en de Heereweg",Wapenheraut jg 1902 p 285/Blaffert en Morgenbouck Rijnsburg/Oud Arch Rijnland Loquet 79 no 1899,,,,
1071871,1664-05-12,"Grieken, van","Dammas Leendertsen van Griecken, schepen van Warmond; 1664-11-16: idem Dammis Leenderts  van Grieken",Bibl Seminarie Warmond bergnr O.105b/ Trouwboek Warmond no 9,,,,
1071872,1667,"Grieken, van","Pieter Gerritsz van Griecken, te Amsterdam, vraagt aan de Staten van Holland venia aetatis",Index J.A. Jaeger p 27,,,,
1071873,1670-04-14,"Grieken, van","compareerde Jan Steen, meester schilder, Victor van Griecken, als getrouwd hebbende Margarita Steen, Swaentie Steen, Johannes van Rhynsburgh als testamentaire voogden over Catharina Steen, alle kinderen en erfgenamen van wijlen Harick Jansz Steen; een 5e kind was Wybrant Steen, die echter niet mee mag delen",Ned Leeuw jg 1913 p 169/Notaris Joachim Tierens te Leiden,,,,
1071874,1672-01-14,"Grieken, van","losrenten kantoor Alkmaar: verschijndag 02-02, de kinderen van Hendrick Arendtsz van Griecken, fl 700 - fl 28",Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1071875,1674-11-10,"Grieken, van","leen van de hofstede Warmond: huis en erf te Leiden, Cornelis Leendertsz van Grieken, voor Jannetje Leendertsz van Grieken, zijn zusters, bij overdracht door de curator van de boedel van Pieter Pietersz H (Sl)ingelaer; 1695-04-02: Jan Joppen van Sterreveld voor Jannetje van Grieken, bij dode van haar broer Cornelis; 1717-01-09: Pieter Gysen Turkenburg na dode van zijn moeder Jannetje Leendertsz van Grieken",Ons Voorgeslacht jg 1980 p 703,,,,
1071876,1675-1685,"Grieken, van",Warmond: Trouwboek en Doopboek Geref diverse van Grieken,"DTB Warmond Geref Doopboek no 2, idem Trouwboek no 2",,,,
1071877,1676-11-03,"Grieken, van","getrouwd Ned Herv Kerk te Haarlem: Mathys Hasewindius, weduwnaar van Haarlem x Maria Seeman, weduwe van Jacob van Grieken",Navorscher jg 1901 p 90,,,,
1071878,1676-1712,"Grieken, van","Ter Aar Trouwboek: 1676-11-31 ? Gysberth Jansz met Tryntgen Ponsz van Grieken; 1688-12-01: Willem Jansz van Grieken x Annetie Thomas Allarm; 1693-02-03: Jan Jansz van Grieken x Cornelia Jansz Hoosbeeck; 1698-01-21: Huybert Jansz van Grieken en Niessie Aryens van der Horn, en enige andere Van Grieken",DTB Ter Aar Trouwboek Inv no 8,,,,
1071879,1687-11-09,"Grieken, van","Gehuwd dr Pieter van Grieken, overleden 1699 met Anna van Aardenstoff, geboren 1665-06-01, hieruit: Maria van Grieken x dr Gerardus Sandbrink",Alg Ned Familieblad 1884 no 92 1b,,,,
1071880,1690-01-27,"Grieken, van","compareerde Dammes van Grieken, van Langeraar, binnenlands vaarder, weduwnaar van Aeltie Cornelis, in de Taenstraat, en Diewertie Lubbers van Texel, weduwe Cornelis Jacobsz op de Lindegracht",G.A.Amsterdam DTB 296 fol 433,,,,
1071881,1691,"Grieken, van","Pieter van Grieken, regent van het huiszittenhuis te Leiden; 1704-1708 vermeld: Leendert Cornelisz van Grieken;  1729-12-24: begraven te Sassenheim: Magteld van Grieken in de Cage, 1732-02-22: idem Aris Arisz van Grieken; 1809-06-03: overleden op de poel bij Sassenheim: Gerardus van Grieken; 1800~: Ysbrand en Elisabeth van Grieken, wonen te Lisse",Wapenheraut jg 1902 p 285,,,,
1071882,1693-06-19,"Grieken, van","Frans Dammesz van Grieken, van Amsterdam, boomemaaker, oud 23 jaren, op t Dickerseyland, ouders dood, geassisteerd met zijn zuster Grietie Dammes van Grieken, en Jaapie Wybis, van Amsterdam, oud 25 jaren, in de NZ Houttuynen, geassisteerd met haar vader Wijbe Cornelisz",G.A.Amsterdam Huwelijksint Puij,,,,
1071883,1704-01-08,"Grieken, van",Leendert Cornelis van Grieken wordt bij dode van zijn oom Theunis Claesz Backer beleend met het Berkenbosch onder Roelof Arendsveen,Wapenheraut 1901 p 148/Leenboek Oud Alkemade te Warmond,,,,
1071884,1708-1711,"Grieken, van","Pons Jansz van Grieken, ouderling van de Ned Herv gemeente te Koudekerk; tussen 1699-1701 diaken","Navorscher jg 1903 p 513, 515",,,,
1071885,1711-03-19,"Grieken, van","Simon van Grieken, van de Oude Wetering, timmerman, oud 30 jaren, in de Houttuynen, geassisteerd met zijn vader Arent van Grieken en Catrina Koenen van Amsterdam, weduwe van Antoni Kluyver op het Fransepad",G.A.Amsterdam Huwelijksintekenregister no 708 fol 25v,,,,
1071886,1713-11-26,"Grieken, van",grafschrift Groote Kerk Edam: ontslapen Marytie Cornelis van Grieken; Grafschrift in de Groote Kerk te Alkmaar: dit graf hoort toe Klaes Yanse van Hoogtwoudt en Wullemintie Yans van Griecken,Bloys van Treslong Prins: Grafschriften in de kerken van Noordholland p 358,,,,
1071887,1720-1734,"Grieken, van",Ter Aar Gerecht Trouwboek: diverse huwelijken,DTB Ter Aar Trouwboek Inv no 9,,,,
1071888,1716,"Grieken, van","Pasen 1716: Pons Jansen van Grieken en zijn huisvrouw Adriaentie van der Sluys, met attestatie lidmaat geworden van de kerk te Heemstede",Heemstede Actenboek no 2 1660-1729,,,,
1071889,1722-07-12,"Grieken, van",gehuwd in de kerk te Sloterdijk: Gysbert van Grieken en Sara de Kooker,Wapenheraut jg 1903 p 485,,,,
1071890,1730-1734,"Grieken, van","1730-09-26-1734: namen der broederen van de Kamer der Pellikanisten onder t woord ""Trouw moet blijcken"" te Haarlem: 1703-1796  Lambert van Grieken",Alg Ned Familieblad jg 1902 p 307,,,,
1071891,1730-1732,"Grieken, van","leen van het huis 's Heeraartsberg: Bergambacht, een viertel land in het Nieuwout, belend ten oosten: Cornelis van Grieken, west: Cornelis Jongeshelt",Ons Voorgeslacht jg 1976 p 245,,,,
1071892,1741-1755,"Grieken, van","Dirk van Grieken, schepen van Heemstede; 1770-1779: Barend van Grieken, idem","Wapenheraut jg 1915 p 456, 457, 459, 460",,,,
1071893,1758-10-21,"Grieken, van","testament voor notaris Jan van der Snoek te Boskoop, van Dirk van Grieken en Maria Pieters Kroon, echtelieden, wonende te Boskoop; 1765-01-02: extraxt afgegeven door deze notaris","Regt ""Inv Oud Archief der gemeente Alphen, hs Alphen II, Rechterlijk Archief ",,,,
1071894,1775-01-15,"Grieken, van","Cornelis van Grieken, weduwnaar, geboren en wonend in Leimuiden en Hermina Ruthse Gerrats, jongedochter, geboren en wonend alhier",DTB Hillegom Gerecht Trouwboek no 13,,,,
1071895,1778-11-01,"Grieken, van","Patna Joh Alida van Grieken (gestorven 1779-10-21) x Gozewijn Willem Hendrik de Vriese, geobren op Kenenburg 1752-11-06, overleden Breda 1812-01-28, onderkoopman O.I.Comp, later schepen te Middelburg",Navorscher 1889 p 641,,,,
1071896,1792-04-23,"Grieken, van","album studiosorum Geref Gymnasium te Bremen: Gerardus van Grieken, van Noordwijk, Batavus, Med. Studiosus; pater: Hillebrandus van Grieken, privatus",Ned Leeuw jg 1926 p 368,,,,
1071897,1793-12-13,"Grieken, van","testament van Willem van der Hoorn, huijsman, en Jaapje Jans van Grieken (gegoed beneden fl 2000); kinderen legitieme portie, wederzijds elkaars erfgenamen; voogden over hun kindreen: Jan van der Hoorn en Pieter Omzigt, beide woonachtig te Langeraar","Not Arch Alkemade Inv no 91 akte no 345, notaris Vossius",,,,
1071898,1794-05-19,"Grieken, van","testament van Kornelis van der Hoorn, teelman, en Leentje Jans van Grieken (gegoed beneden fl 2000): mutueel testament, beiden tekenen met kruisje","Not Arch Alkemade Inv no 91 akte no 367, notaris Vossius",,,,
1071899,1794-08-28,"Grieken, van","cautie van de heer Adriaan van Grieken, houtkoper, wonend aan de Oudewetering onder Leymuyden, tbv het gerecht en de ambachtsbewaarders van Alkemade","Not Arch Alkemade Inv no 91 akte no 380, notaris Vossius",,,,
1071900,1714-1737,"Grieken, van","Alkemade: Doopboek RK, diverse Van Grieken","DTB Alkemade RK Doopboek no 17, 21",,,,
1071901,1717-1779,"Grieken, van",Hoogmade (Woubrugge): gehuwd RK Kerk diverse Van Grieken; idem overleden Van Grieken tussen 1763-1779,DTB Woubrugge no 12 RK Register,,,,
1071902,1423-07-24,"Griemer, de","leenregister Culemborg: - Sweder van der Weteringe 1 hove land in d heerschappij van Hagensteijn, geheten Russchehove, belend boven: Henric die Witte en Diric die Grijemer, beneden: Henric van den Over, strekkende van der Hageweteringe in de Lek",Leenregister Culemborg 1410~ fol 96,,,,
1071903,1420-07-17,"Griemer, de","leen van Vianen: no 712) een hof aan de gracht voor de waterpoort te Vianen, 9 roeden breed en achter Lekwaarts, belend beneden: Coenraad Claesz met huis en hofstede, Dirc de Grimer met lijftocht van zijn vrouw Jutte; 1437-09-09: Elisabeth Hoops, zuster van Dirc de Grimer, belend beneden: Arnoud Botter; 1442-07-10: Willem Grimer waarna overdracht aan Alfer Lambertsz met lijftocht van zijn vrouw Geertruida; 1472-03-04: Gerrit Alfersz; 1484-09-11: Herman Florisz, na overdracht door Gerrit Alfersz; 1485-10-14: Gysbert Florisz na dode van Dirc de Grimer, belend beneden: de kinderen van Govert Botter; 1491-02-04: jonge Willem Claesz voor zijn vrouw Jutte Florisdochter, na dode van haar broer Gysbert Florisz",Ons Voorgeslacht 07-1988 p 324,,,,
1071904,"1610, 1703","Griethuijse, van","lid van het St Jorisgilde te Harderwijk: 1610 mr Jan van Griethuijse; 1703-04-16: Sibert van Griethuyse, overleden 1716; 1703-03-06: Melchior Willem van Griethuyse","Wapenheraut jg I: 59, 108",,,,
1071905,1748-05-17,Griffioen,"ondertrouwd te Heusden, gehuwd 06-03: Hendrik Griffijoen, jongeman, soldaat in de compagnie waardgelders an de capitein … Rees, in het regiment Portz, van Leyden, met Helena Rutten, jongedochter, geboren van Santen",DTB Heusden,,,,
1071906,1406-1411,"Grijen, van","1408: (839 fol 22) Aernt van Grijen en Boudyn Aetsertsz van Jans weghen van Haerlem, afterstal van 1404 van Vronen, 5 £ 6sc 9d; 1406: (837 fol 6) ""die Hondert"" op ten Waert, 16 want, om 4 £, Aernt van Gryenen; 1407: (838 fol 7) idem Aernt van Grijen; 1411: (841 fol 24v) afterstal van 1410: Aernt van Grijen, van de honderd op ten Waerde 4£; 1409: (840 fol 13v) van idem 4£","Rek Rentmeester Kennemerland 839, 837, 838, 841, 840",,,,
1071907,1410~,Grije,"leenregister Culemborg: - Hugo Hamer 3 morgen te Honswijc, belend boven: Jan Grije Jansz.sz met land dat hij hield van jvr Lysbeth van Blockhoven, van de middelweg tot de dijk en voorts buitendijks de papelijke provende en de kerk van Tull, beneden: Gerijt Hol",Leenregister Culemborg fol 4,,,,
1071908,1468,Grijp,"Jacob Grijpsz gedaagd door mr Jan Danckertsz: 1468-07-28, 1468-08-11, 1468-10-11, 1468-10-31","R.A.H. Coll Aanw 240 fol 1013, 1097, 1121, 1153, 1203v, 1272, 1370v",,,,
1071909,1468,Grijp,"Floris Grijp gedaagd door mr Jan Stuwaert: 1468-08-04, 1468-08-09, 1468-09-13, 1468-10-14, 1468-10-20 (baljuw van s Hage), 1468-11-08","R.A.H. Coll Aanw 240 fol 1050v, 1060, 1178. 1285v. 1315v, 1389v",,,,
1071910,1468-08-11,Grijp,"Floris Grijp, door heer Willem Ruyroc aangesteld als zijn stedhouder in het baljuwschap van den Hage; heer Willem heeft hem nu ontslagen, Floris verzet zich hiertegen (240 fol 1107); 1468-08-29: Floris Grijp Claesz staat zijn helft van het baljuwschap van den Hage af aan heer Philips van Wassenaer; 1468-09-27: (fol 1233v) geinsereerd de brief dd 1467-01-20, waarbij Willem Ruygrock van de Werve Jansz de helft van dit baljuwschap geeft aan zijn neef Floris Grijp Claesz ","R.A.H. Coll Aanw 240 fol 1107, 1233v",,,,
1071911,1485-1504,Grijp,"diverse functies te Delft: Willem Grijp Florisz; 1500, 1501: Claes Grijp, weesmeester","Bortet: Delft p 81, 116-118, 108",,,,
1071912,1543-06-26,"Grijp, van~","heer Gerrit van Lockhorst, ridder, Raad van den leenhove van Holland, Cornelis Barthoutsz, Willem van Criep, Jan van der Woert, leenmannen van Holland","Te Water: ""Verbond der Edelen"" IV p 171",,,,
1071913,1551-06-17,Grijp,"leenregister Hodenpijl: Gerrit Grijp Claesz verzoekt belening met het leen van zijn oom mr Gerrit Willemsz Storm (deze had nl dit leen op 1540-07-08 overgedragen aan zijn nicht Margriet van Hogendorp Albrechtsdochter, gehuwd met Hans Colleman), bewerende dat zijn vader Claes Willemsz Grijp omtrent 10 jaren ouder was dan mr Gerrit Willemsz Storm, zijn oom voornoemd, en dat hij dus de gerechte leenvolger was",Ned Leeuw jg 1911 p 13,,,,
1071914,1562-1610,Grijp~,"mr Willem Criep: 1562 stadssecretaris te Delft, 1563: pensionaris Delft, 1573: Raad te Utrecht; 1574-1586: Raad in de Grote Raad te Mechelen; 1566-11-09: visitator van de grote school te Delft; 1610: cancelier van Gelderland te Roermond, alwaar hij stierf anno 1610, oud 75 jaar",Bortet: Delft p 478,,,,
