id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2013109,1493-1519,Gheryt,Henricsz,Raad of schepen van Dordrecht: Gerrit Henricsz,Balen: Dordrecht p 302-307,,
2013110,1469-03-24,Gheryt,Henricsz,"leen van Vianen: no 716) huis, hof en getimmerte in de stad Vianen in de naaste achterstraat aan de westzijde, strekkende van de Achterstraat oostwaarts tot de Voorstraat, Gerrit Hendriksz, dienaar van de leenheer en vicaris van St Christoffelsaltaar in de kerk van Vianen, zoals wijlen mr Johan van Waal, te komen op zijn kinderen bij Agnes, natuurlijke dochter van Pieter van Wijk",Ons Voorgeslacht 07-1988 p 327,,
2013111,1336-08-08,Gheryt,Gysbrechtsz,"leen van Amstel: no 40) 8 morgen in Ouderkerk aan de Amstel bij de kerk in het gezaat van Gysbert Egbertsz, bij opdracht van Gysbert Egbertsz; 1346: Gysbert Egbertsz; 1368-10-23: Gerrit Gysbertsz na dode van zijn vader",Ons Voorgeslacht 09-1988 p 375,,
2013112,1615-02-24,Gheryt,Gherytsz,"Gerrit Gerritsz, voor heren weesmeesters te Haarlem aan …............, 1 ½ mad land aan Jan Gijzenvaart [Schoten]","Protocol Schoten, Haarlemmerliede en Akendam fol 30",,
2013113,1494,Gheryt,Walichsz,"Gerrit Walichsz: kerkmeester in 1493, zijn zoon Gerrit Gerrit Walichsz legt omtrent Pasen mede de 1e steen voor de nieuwe toren bij de kerk te Delft",Bortet: Delft p 236,,
2013114,1530,Gerardus ,Henricsz,"Gerardus Henrici de Gouda, studeert te Orleans",Bijdr Hist Gen dl 34 p 327,,
2013115,1649-05-09,Gerrit,Jacobsz,"leen van Vianen: no 594B) 2 morgen 4 ½ hont te Lakerveld, waar 594A) middenin ligt, Gerrit Jacobsz te Lakerveld, na overdracht door Herbert Gerritsz","Ons Voorgeslacht 01-1988 p 25, 26",,
2013116,1410-10-06,Gerrit,Ysbrandsz,"leen no 38) 4 morgen in een camp van 7 ½ morgen in de Lier, Reiner Jacob Aertsz na overdracht door Jacob Aertsz, te versterven op de zwaardzijde van Willem Gerritsz; 1473: Gerrit Ysbrandsz vermeld",Ons Voorgeslacht 10-1988 p 442,,
2013117,1535-09-09,Gerrit,Jacobsz,"leen van Amstel: no 41) 5 morgen in Ouder Amstel in Tyman Vogelszate, nu Gerrit Jacobsz zate, beleend Jacob Gysbertsz na dode van zijn vader Gysbert Willemsz, waarna overdracht aan Gerrit Jacobsz voor zijn zoon Jacob Gerritsz, het leen heet nu Gerrit Jacobszate; 1559-02-18: Jan Gerritsz na dode van zijn broer Jacob Gerritsz; 1563-03-02: Cornelis Wolfertsz na overdracht door Jan Gerritsz ","Ons Voorgeslacht 09-1988 p 375, 376",,
2013118,1467-1512,Gerrit,Jacobsz,"Raad of schepen van Dordrecht: Gerrit heer Jacobsz, stierf 1517-08-01, in zijn plaats kwam Jan Barthoudsz",Balen: Dordrecht p 295-306,,
2013119,1422-1451,Gerrit,Jansz,Raad of schepen van Dordrecht: Gerrit Jansz,"Balen: Dordrecht p 286, 287, 290, 291",,
2013120,1361-1393,Gerrit,Jacobsz,"leen van Putten: Portegale, Gheraerd Jacobsz houdt in leen Lombardye in het land van Putten, en de renten die hij heeft op de Nuwevert in die middelbloc en in tsheren banken",R.G.P. Grote Serie no 170  Rek Dom Putten II p 343,,
2013121,1510,Gheryt,Ysbrandsz,"weesmeester van Delft: Dirc, zoon van Gheryt Ysbrandsz",Bortet: Delft p 119,,
2013122,1476,Gheryt ,Hughenz,"schepen van Delft: Dirc, zoon van Gheryt Hughenz, 1479: burgemeester",Bortet: Delft p 119,,
2013123,1428-1440,Gheryt ,Hughenz,schepen van Delft: Gerrit Hugenz,Bortet: Delft p 107-109,,
2013124,1476,Gheryt ,Ysbrandsz,"Hillegom: Gheryt (doorgehaald, vervangen door Jacob) Ysbrantsz op 2 morgen lants ende leyt op Venneperlaan, 20 st per jaar",Renten St Bavo Haarlem fol 27,,
2013125,1468-08-11,Gheryt ,Huyghenz,Gheryt Huygenz contra Albrecht Jansz ,"Coll Aanw 240 fol 1089, 1130v",,
2013126,1394,Gheryt ,Hughenz,schout van Calslagen: Gerrit Hughenz,R.G.P. 174 p 49/Rek Baljuw Rijnland fol 3,,
2013127,1556-07-21,Gheert ,Hermansz,secretaris van de stad Kampen: Gheert Hermansz,Grote Raad Mechelen E.A. Dossiers dl III dossier 3238/3,,
2013128,1472-1473,Gheryt ,Hughenz,"Gerrit Hughenz, van Hazerswoude, gedagvaard door dijkgraaf en heemraden van Rijnland, tot betaling van zijn oomslag; hij meent echter dat hij niet onder Rijnland maar Schieland hoort; 1473-06-18: zenden stadhouder en raden de processtukken over naar de Grote Raad",Grote Raad Mechelen Beroepen Holland dl II dossier 186,,
2013129,1450,Gheryt ,Jacob Posch,"Gheryt Jacob Posch (Poxt), Overveen ½ gld van besprec",Kerkelijke Rek Haarlem fol 2,,
2013130,1467,Gheryt ,Hermansz,"Gheryt Hermansz, op Sparendam, cloc Salvator",Kerkelijke Rek Haarlem fol 4v,,
2013131,1356,Gheryt ,Hughenz,"Gheryt Hughenz: de biertollen en vlastienden in Scagercogge 9 £ (803 fol 9); 1358-1359: (806 fol 36v) afterstal van 1358 van de tienden van de Nuwerkerke 5 £ 8sc; 1359-1360: afterstal van 1358 van idem 5 £ 8sc (voir Otten) (807 fol 5v); 1360-1361: (808 fol 1) de biertollen in Scagen 1357, 1358, 5sc; 1389-1390: huurt 9 geersen voor 48sc (828 fol 15v); 1393-1394 (829 fol 7v), 1400 (830 fol 7v), 1403-1404 (834 fol 7v): huurt 9 geersen voor 48sc",Rek Rentmeester Kennemerland,,
2013132,1409,Gheryt ,Ysbrandsz,Gheryt Ysbrantsz: van de tienden van Ypontshove die Berger hiet (Wieringen) 30 £ (840 fol 19v),Rek Rentmeester Kennemerland,,
2013133,1446-1447,Gheryt ,Ysbrandsz ,"Gheryt Ysbrantsz van Kenoit: zijn renten op die goede van Wieringen voor zijn leven, verschenen november 1447, 30 £ (877 fol 18v); 1447-1448: (878 fol 20) wonende te Kenoit in Henegouwen, 30 £; 1448-1449 (879 fol 18v), 1449-1450 (880 fol 19v), 1450-1451 (881 fol 19): idem 30£; 1451-1452: (882 fol 19) Gheryt is oflivich geworden vóór 1452-11-30, (de verschijndag), daarom hier niet",Rek Rentmeester Kennemerland,,
2013134,1408,Gheryt ,Yvenz,"Gheryt Yvenz: buer te Coedijc, pacht Vroonland voor 3 £ 8sc 6d (839 fol 10); 1409: (840 fol 16) idem; 1411: afterstal van idem 8sc 6d (841 fol 25); 1418: (848 fol 15) afterstal van 1417 van Vroonland 4sc 2d; 1419-1420: Gherijt Yfsz, afterstal van 1417, 7sc 2d (850 fol 9v); 1424: maakt een vak zeedijk voor 1½ croon 1sc (855 fol 7v); 1425-1426: maakt 6 roeden zeedijk in Enigheburch 2½ nobel (857 fol 9a/v); 1427: van idem 2½ nobel (857 fol 27)",Rek Rentmeester Kennemerland,,
2013135,1461-1462,Gheryt ,Yvenz,"Geryt Yvesz [Ywes): de biertollen en vlastienden te St Maarten voor 18sc 9d, in Valkencooch voor 15sc, en die Rye Vroonscout overal in het scoutambacht van het Nyelant 22sc 6d; enige kleine landrenten in het Nyewelant om 3 £ 4sc 6d (892 fol 17v)",Rek Rentmeester Kennemerland,,
2013136,1412,Gheryt ,Jacobsz,heer Gheryt Jacobsz kocht de erfenis van iemand uit Medemblik voor 70 £ (842 fol 9v),Rek Rentmeester Kennemerland,,
2013137,1358-1359,Gheryt ,Hanne,Gheryt Hanne: afterstal van 1358 van Vronen 8sc 5d (806 fol 32v),Rek Rentmeester Kennemerland,,
2013138,1363-1364,Gheryt ,Jansz,"Gheryt Jansz, de bode tot Haerlem: van mijns heren hure te bewaren binnen Haerlem, van 1 rocke 30sc (811 fol 17v); 1360-1361: (808 fol 27) van 1 rode valc 4 £; 1366-1367: (812 fol 22v) van der hure te bewaren in Haerlem, 1 roc 30sc; 1370-1371: (815 fol 4v) Gheryt die bode, van zijn roc 40sc; 1373-1374: (816 fol 27) van de grute in Kennemerland 8£ 16sc; 1374: (817 fol 12) levert 2 valken, 4£ 4sc 4d",Rek Rentmeester Kennemerland,,
2013139,1374-1375,Gheryt ,Jansz,"Gheryt Jansz, de bode tot Haerlem: levert 1 havic taersel 25sc (818 fol 14v); 1384-1385: (826 fol 24) levert een blaeuvoet voor 25sc en 1 havic taersel, 1 valc taersel, 40sc; 1385-1386: (827 fol 14v) land te Vronen de Sontbusch 32sc; 1379: (821 fol 16) een smaecke ?, 11st; 1383-1384: (825 fol 1v) afterstal van zeevonde totter Wyc 7£ 15sc, 11£ 12sc, 6d en 19£ 7d; hij is tal van bedragen schuldig van de Soutbusch",Rek Rentmeester Kennemerland,,
2013140,1368-1369,Gheryt ,Jansz,"Gheryt Jansz en Jan uter Wijc: afterstal van 1367 van de tienden van Hensbroec 12 £ 11sc (813 fol 10); 1369-1370: (814 fol 4v) afterstal van de tienden van het Zuytende van Scermer, Gheryt Jansz, 5 £ 19sc 7d; 1374-1375: land te Vronen 32sc, de biertollen in Wieringen 5£, de grute van Vriesland 11£ 12sc en van Kennemerland 48sc (818 fol 8, 12); 1375-1376: (819 fol 8, 16v) land te Vronen 32sc, levert 1 rode valc 4£; 1380: land te Vronen 32sc (822 fol 8); 1384-1385: (826 fol 14) idem 32sc",Rek Rentmeester Kennemerland,,
2013141,1406,Gheryt ,Jansz,"Gheryt Jansz: de tienden van Berchoute 13 £ (837 fol 8); 1412: van de molen op de Overtoom 16 £ 81d (842 fol 8); 1413: (843 fol 7v) van idem 17 £ 13sc 6d; 1414: van Payensidewinde 17 £ (844 fol 5); 1415: van idem 12 £ 10sc, van de molen op de Overtoom, per week gehuurd voor 24gr, maakt 1 jaar 16£ 5sc 6d (845 fol 5, 6); 1416: (846 fol 6v) deze molen 15£ 18sc; 1417: (847 fol 3v, 6) de tienden van Oudkerspel 63£, de molen 12£ 12sc 8d",Rek Rentmeester Kennemerland,,
2013142,1418,Gheryt ,Jansz,"Gheryt Jansz: de tienden van Oudkerspel 74 £, van Payensidewinde 18 £ 12d, van de molen op de Overtoom 12 £ 9sc, afterstal van 1417 van Vroonland 8sc 2d (848 fol 3v, 5, 6, 24v); 1419-1420: afterstal van 1418 van Payensidewinde 25 £ 4sc 2d (850 fol 10v); 1422-1423: afterstal van Vroonland 26sc 9d (852 fol 9v)",Rek Rentmeester Kennemerland,,
2013143,1412,Gheryt ,Jan Aechtenz,Gheryt Jan Aechtenz: afterstal van 1410 van de tienden van Oudkarspel 4 £ 4sc 5d (842 fol 24),Rek Rentmeester Kennemerland,,
2013144,1412,Gheryt ,Jansz,"Gheryt Jansz: van een besterfte te Bergen bi dode Mariken Aelwijns, dair ghene erfname om en volchden, ontvangen 3 £ (842 fol 9v)",Rek Rentmeester Kennemerland,,
2013145,1422-1423,Gheryt ,Jansz,"Gheryt Jansz: afterstal van Vroonland 2 £ 6sc 9d (852 fol 10); 1423-1424: en Heynric Jansz, afterstal van 1423 van de tiende van Nuwe Nyedorp 5 £ 10sc (854 fol 11v); 1424: maakt 1 vak zeedijk te Enigheburch, 2 ½ nobel en nog 1 voor 8 £ (855 fol 6, 7); 1425-1426: (857 fol 6, 9b) de biertollen op de Langedijk 20sc, maakt 6 roeden dijk in St Maarten 2½ nobel; 1428: de biertollen te Nyedorp 24sc, de wage tot Nyedorp 26sc (858 fol 1), (fol 4v) sa ? Gheryt Jan Hannenz: afterstal van 1427 van de biertollen en wage tot Nyedorp 2£ 10sc",Rek Rentmeester Kennemerland,,
2013146,1441-1442,Gheryt ,Ysbrandsz,"Gheryt Ysebrandsz en Jake Jan Roemerszs oudste dochter, vrouw van Gheryt, Leiden, kopen een lijfrente van 14 R gld per jaar op Haarlem voor 205 £ 6sc 8d (fol 8v); 1442-1443: (fol 74v) Gheryt Ysbrantsz en zijn vrouw Jake, oudste dochter van Jan die Roemonts, hun rente 19£ 12sc",Thesauriersrekening Haarlem,,
2013147,1440,Gheryt ,Hughenz,"Gheryt Hughenz, Gouda: rente op Haarlem, 2 brieven 22 R gld = 57 £ 4sc, ½ jaar 28 £ 12sc (195 fol 120v); 1435-1436: Gheryt Hughenz en Pieter Hughenz kopen een lijfrente van 22 R gld per jaar op Haarlem voor 264 £; Gheryt Hughenz en zijn zuster Goedelt Hughendochter kopen idem voor idem (189 fol 35); 1436-1437: zijn rente 52£ 16sc (fol 64v); 1442-1443: Geryt en Pieter Hughenz 15£ 8sc, 30£ 1sc 4d, en met Oedelt Hughendochter 15£ 8sc en 30£ 1sc 4d (fol 88v); 1445: zijn rente 63£ 6sc 8d (fol 7v)",Thesauriersrekening Haarlem,,
2013148,1430,Gheryt ,Jansz,"Gheryt Jansz, Amsterdam: rente op Haarlem 6 nobel, 17 £ 12sc (184 fol 96v); 1429-1430: van 1429, 6 nobel facit 16 £ 16sc (fol 51a/v); 1431-1432: van idem 19 £ 4sc (fol 52v); 1432-1433: (fol 38v) 20 £ ",Thesauriersrekening Haarlem,,
2013149,1448-1449,Gheryt ,Jan Coppertsz,Gheryt Jan Coppertsz: de sluyse van Wydenesse voor 2 £ 17sc (879 fol 9); 1449-1450 (880 fol 9v) t/m 1456-1457: 2 £ 17sc of 2 £ 18sc 6d; 1457-1458 (888 fol 15) t/m 1462-1463 (893 fol 14v):  idem 3 £ ,Rek Rentmeester Kennemerland,,
2013150,1451-1452,Gheryt ,Jansz,Gheryt Jansz: de Noirtmertienden op Wieringen voor 29 £ 5sc (882 fol 7v),Rek Rentmeester Kennemerland,,
2013151,1461-1462,Gheryt ,Jansz,"Gheryt Jansz oflivich geworden tot Ypolshove in Wieringen, die een van zijn erfgenamen wonende hadde in Oost Vriesland, gedadinct van besterfte om 6 £ (892 fol 18)",Rek Rentmeester Kennemerland,,
2013152,1470-1471,Gheryt ,Jansz,"Jacob Gherytsz, zoon van Gheryt Jansz, is taelman in den Hage, en gehuwd met de broedersdochter van Jacob Matheusz; een andere zoon Pieter Gherytsz pacht het schoutambacht van Westzaan en Crommenie voor 31 £ per jaar (902 fol 23v, 30v)",Rek Rentmeester Kennemerland,,
2013153,1384-1385,Gheryt ,Ghorysz,"tot Nydorp van Gheryt Ghorijs goede omdat hij bastaard was, van ¼ deel van den goede daerof comen bovenster scoude 56 £  (826 fol 20v)",Rek Rentmeester Kennemerland,,
2013154,1537-01,Gheryt ,Jansz,"Gheryt Jansz, van Zwolle, tevens als voogd van zijn broer Henric Jansz, verkopen c.s huis en erf op t Zant, zuidzijde, te Haarlem",G.A. Haarlem Transportregister 76/19 fol 23v,,
2013155,1476-1479,Gheryt ,Jansz,schepen of burgemeester van Alkmaar: Gerrit Jansz,"Bruinvis: Alkmaar p 17, 25",,
2013156,1468-09-13,Gheryt ,Jansz,"Gheryt Jansz, partie inthime bij de schepenen van Ouderkerk, die gedaagd zijn door de baljuw van Waterland ",Coll Aanw 240 fol 1181v,,
2013157,1468-05-10,Gerrit,Jan Gerbrandsz,"Gerrit Jan Gerbrandsz is betrokken bij een doodslag te Valkencooch, uitspraak",Coll Aanw 238 fol 355v/Memorien Hof van Holland,,
2013158,1467-12-02,Gerrit,Jansz,"Gerrit Jansz, zijn zuster en Aernt Pieter Weentz hadden een proces tegen St Jan te Haarlem, over bier dat in het klooster gedronken was",Coll Aanw 238 fol 21v/Memorien Hof van Holland fol 6,,
2013159,1454-10-02,Gerrit,Jansz,"leen van Vianen: no 594) 4 morgen in Lakerveld, Gerrit Jansz; 1459-08-06: Hendrik Jansz; 1463-05-28: Udele x Jan die Riege","Ons Voorgeslacht 01-1988 p 25, 26",,
2013160,"1442, 1443",Gheryt,Jansz,"schepen van Delft: Jan, zoon van Gheryt Jansz ",Bortet: Delft p 109,,
2013161,1503,Gheryt,Jansz,"Gheryt Jansz, van Overveen, is doet, een opdoen van sijn graf, geluid cloc Bavo, betaald 20 st van het opdoen, si sult betalen het luien te Mey ",Kerkelijke Rek Haarlem fol 17v,,
2013162,1485,Gheryt,Jan Gherytsz,"de vrouw van Gheryt Jan Gherytsz, Overveen, een opdoen van een graf",Kerkelijke Rek Haarlem fol 8v,,
2013163,1438,Gheryt,Meynaertsz,"de vrouw van Gheryt Meynaertsz, tot Scoten, cloc ½ scilt",Kerkelijke Rek Haarlem fol 5v,,
2013164,1468-07-28,Gheryt,Philipsz,"Gheryt Philipsz en Ogier Philipsz contra kerkmeesters van de ouder Schie, die hen aangesproken hadden voor de provisor van Schieland ter cause van 1 £ per jaar die zij zeggen te hebben op het Nyewelant te Schoe[nder]loo, in erfhuur van de grafelijkheid gehouden",Coll Aanw 240 fol 1018v,,
2013165,"1413, 1419",Gheryt,Pouwelsz,schepen van Delft: Gerrit Pouwelsz,"Bortet: Delft p 105, 106",,
2013166,1350-09-07,Gerrit,Ockersz,"stierf Gerrit Ockersz, in de Wijk, die 17 schell per jaar besproken heeft en daarboven 16 schell besprak; 1382-01-04: Ocker Simonsz die ons 5 £ besproken heeft en op het gemene kerkhof begraven is",Kroniek Egmond p 273,,
2013167,1535,Gheryt ,Willemsz,"Gheryt Willemsz en Pieter Heynricsz c.s, pachters [van de omslagen ?] te Heemskerk",Grote Raad Mechelen Beroepen Holland dl IV dossier 391,,
2013168,1281,Gerrit,Phlipsz,"leen in Rijswijk: 2 morgen in die Hoeve, Gerrit Philipsz; 1390: Gerrit Philipsz te Rijswijk met de ledige hand; 1430-12-05: het leen vermeerderd tot 5 morgen, ten zuiden van de Hoeve, strekkend tot de naaste dwarssloot, beleend: Arnout Philips Gerritsz; 1436-08-05: Jan Arnoutsz bij dode van zijn vader Arnout Philips Gerritsz",Ons Voorgeslacht 12-1984 p 569,,
2013169,1525-07-13,Gerrit,Ludolf,"leen van Vianen: no 710) 2 morgen gemeen in een viertel in Outena, Meins Adriaensdochter, overdracht aan George Luitgens voor zijn vrouw Mette Ernst Bosmansdochter; 1532-01-19: lijftocht van George Ludolf, dienaar van de leenheer, gehuwd met Mette Ernst Bosmansdochter, ""2 morgen gemeen met Meins Adriaensdochter""",Ons Voorgeslacht 07-1988 p 323,,
2013170,1392-08-01,Gerrit,Lambertsz,"leen van Amstel: 55) 2 morgen in Zwedersland, genaamd Godshuisland, in de parochie van Weesp, belend noord: de Alertscamp, zuid: Gerrit Lambertsz, beleend Dibberen Jansz bij opdracht in ruil voor no 54)",Ons Voorgeslacht 09-1988 p 380,,
2013171,1515-05,Gerrit,Louwerysz,"Gerrit Louwerysz uyt de Wyck [Beverwijk] koopt boomgaard met geboomte gelegen buiten [Haarlem] aan de Renlaan, koopsom 58 R gld, al vrij",G.A. Haarlem Transportregister 76/12 fol 98,,
2013172,1343,Gerrit,Griete Arndsz,"Tetrode, van huur: Gheraert Griete Arndszone 1d",Rek Rentmeester Kennemerland dl II p 235,,
2013173,1343,Gerrit,Nanne,"Tetrode, van huur: Gheraert Nanne 2sc",Rek Rentmeester Kennemerland dl II p 235,,
2013174,1338,Gerrit,Griete Hughenz,"Lisse, afterstal van beesten: Gheret Griete Hughenz 7scare, 1 éénwinter 12sc",Rek Houtvester dl VII p 83,,
2013175,1338,Gerrit,Mewe,"Nortich, Norticherhout, Langevelt, van veenhuur: Ghered Mewe 2sc 6d",Rek Houtvester dl VII p 103,,
2013176,1337,Gerrit,Louwenz,"Tetrode, van wintval: Gerrit Louwez, één beuk 16sc 6d; Gerrit Louwez, 3 stic 14sc",Rek Houtvester dl VII p 88,,
2013177,1349-1350,Gheryt,Ludekenz,Gheryt Ludekenz: maakt 14 voeten aan de dijk bij Enigheburch (798 fol 23v),Rek Rentmeester Kennemerland,,
2013178,1496-1497,Gheryt,Luytgensz,"Gerrit Luijtgensz: pacht de marcttollen te Haarlem 3 jaar lang, ingaande St Lucas 1496, voor 10 £ 10 sc per jaar (924 fol 12v); 1497-1498 (925 fol 15v), 1498-1499 (926 fol 13): idem 10 £ 10sc",Rek Rentmeester Kennemerland,,
2013179,1389-1390,Gheryt,Martynsz,"Gheryt Martijnsz: van de tienden van den Diec 9 £, van de tienden van Scermer 4 £ 4sc (828 fol 16v, 17v)",Rek Rentmeester Kennemerland,,
2013180,1455-1456,Gheryt,Mathysz,"Griet, vrouw van Geryt Mathijsz, gestorven in Enigeburch, haar erfgenamen woonden in Vriesland, gedadinct van besterfte voor 2 £ 10sc (886 fol 18v)",Rek Rentmeester Kennemerland,,
2013181,1494-1495,Gheryt,Meynertsz,schepen van Akersloot: Gerijt Meynertsz (922 fol 25v),Rek Rentmeester Kennemerland,,
2013182,1366-1367,Gheryt,Mennenz,"Gheryt Mennenz: maakt 12 ½ roeden dijk in Enigheburch 41sc 8d (812 fol 21); 1374: (817 fol 13) maakt 13 roeden dijk in het Nuwelant 5 £, Lude Mennez: 13 roeden 3 £ 2sc 6d, Rendse Mennenz: 13 roeden 7 £ 10sc; 1380: (822 fol 15) maakt 6 roeden voor 7£ 4sc, 6 roeden voor 4£ 16sc, 24 voet voor 40sc; 1379: (821 fol 17) 6 roeden dijk in Enigheburg 4£ 16sc en 24 voet van den Hoflande 40sc",Rek Rentmeester Kennemerland,,
2013183,1465-1466,Gheryt,Moenenz,Pieter Gerijt Moenenz: de tienden van Nyedorp 35 £ (896 fol 24),Rek Rentmeester Kennemerland,,
2013184,1384-1385,Gheryt,Nannenz,"Dirc Mertynsz van een besterfte te Alcmaer, van Gherijt Nannenz goede, omdat hij een bastaard was, 36 £ (826 fol 20v)",Rek Rentmeester Kennemerland,,
2013185,1459-1460,Gheryt,Oitsz,Gheryt Oitsz: de visserij geheten ter Langerlaen op de Langedijk voor 2 £ 9sc 6d (890 fol 14),Rek Rentmeester Kennemerland,,
2013186,1374-1375,Gheryt,Oudicken broeder,"Gheryt Oudicken broeder: huurt ""die Valsch"", 22 want te Vronen, 12 £ 8sc 10d (818 fol 7); 1377: die Valsch, 17 £ 9sc 10d (820 fol 17v); 1383: afterstal van Vronen 20.. (824 fol 1); 1385-1386: (829 fol 13v) huurt die Valsch voor 12 £ 8sc 10d",Rek Rentmeester Kennemerland,,
2013187,1358-1359,Gheryt,Oetgersz,Gheryt Oetgersz: afterstal van 1358 van de visserij van de Langhelane 17 £ 6sc (806 fol 37),Rek Rentmeester Kennemerland,,
2013188,1412,Gheryt,Outinxz,Gheryt Outinxz: afterstal van 1411 van Vroonland 11sc 4d (842 fol 26),Rek Rentmeester Kennemerland,,
2013189,1412,Gheryt,Pouwelsz,"Clais die Wale van een besterfte in Westwoude bij dode van Gheryt Pouwelsz die in Oostvriesland starf, ontvangen 16 £ (842 fol 9v)",Rek Rentmeester Kennemerland,,
2013190,1349-1350,Gheryt,Pietersz,Gheryt Pietersz: van cleilande (798 fol 2v); 1358-1359: (806 fol 34) afterstal van 1358 van Vronen 5sc 10d,Rek Rentmeester Kennemerland,,
2013191,1349-1350,Gheryt,Pietersz,Gheryt grote Pietersz: het land van Vronen (798 fol 8); 1356-1357: (804 fol 25) afterstal van 1356 van Vronen 20sc 2d; 1358-1359: (806 fol 32) afterstal van Vronen 40sc 2d,Rek Rentmeester Kennemerland,,
2013192,1375-1376,Gheryt,Pietersz,"Gheryt Pietersz: land te Vronen 45sc 6d (819 fol 7v); 1380 (822 fol 7v), 1384-1385 (826 fol 13v), 1385-1386 (827 fol 14): van idem 45sc 6d; 1377: (820 fol 10v) van de tienden van Ypontshove, die Berger hiet, 6 £ ",Rek Rentmeester Kennemerland,,
2013193,1402 ,Gheryt,Pietersz,Gheryt Pietersz: de tienden van der Nuwerkerc 7 £ (832 fol 8v); 1403: (833 fol 8v) van idem 4 £ ,Rek Rentmeester Kennemerland,,
2013194,1424,Gheryt,Pietersz,"Gheryt Pietersz: de dijkgraaf en de heemraden besteden het maken van de zuutdijk after Outdorp (855 fol 8v); 1428: (858 fol 2) betaalt bij Pieter Jan Reynersz, die up die tijt een dycgrave was en Gheryt Pietersz te Outdorp, van 8 roeden dijk te maken bij de molen te Alkmaar, 8£ 10sc",Rek Rentmeester Kennemerland,,
2013195,1422,Gheryt,Pietersz,"de broers Gheryt en Claes Pietersz, te Amsterdam, rente op Haarlem van 1420, 50 £, van 1421: 50 £, van 1422: 50 £ (178 fol 83, 83v)",Thesauriersrekening Haarlem,,
2013196,1474-1475,Gheryt,Theeusz,"de kinderen van Gerijt Theeusz, te Amsterdam, van een heel jaar losrente van 1473, 2 £ (fol 44)",Thesauriersrekening Haarlem,,
2013197,1430,Gheryt,Pietersz,"Gheryt Pietersz en Alyt Jan Willemsz, Amsterdam, rente op Haarlem 12 nobel, 35 £ 4sc (184 fol 97); 1440: (195 fol 107) Alyt was Gheryt Pieterszsdochter, rente 12 nobel = 36 £; 1429-1430: (fol 51v) hun rente 34 £ 12sc; 1431-1432: (fol 52v) 38 £ 8sc; 1432-1433: (fol 39) 40£; 1433-1434: (fol 33) zijn rente 40£, 12 nobel; 1435-1436: (fol 80) zijn rente 30£ 8sc; 1436-1437: (fol 57v) broeder Dirc Hamer regulier, int de lijfpensie van Gheryt Pieter Gherytsz op Haarlem van 12 nobel, maakt 30£ 8sc; 1437-1438: (fol 55V) zijn lijfpensie 33£ 12sc; 1439-1440: als hiervoor 36£ (fol 65v)",Thesauriersrekening Haarlem,,
2013198,1450,Gheryt,Pietersz,"Gheryt Pietersz, in Heemstee, 1 R gld van testament",Kerkelijke Rek Haarlem fol 1v,,
2013199,1463,Gheryt,Pietersz,"Gheryt Pietersz, van Amsterdam, wonende in de St Jansstraat te Haarlem: testament 1 nobel voor de kerk te Haarlem; 1465: zijn vrouw, van Amsterdam, cloc Salvator, testament 3 R gld en 1 R gld om OLVr mede te lichten","Kerkelijke Rek Haarlem fol 4v, 6",,
2013200,1491-1506,Gerrit,Pietersz,schepen of burgemeester van Alkmaar: Gerrit Pietersz,"Bruinvis: Alkmaar p 17, 25",,
2013201,1549-1568,Gerrit,Pietersz,"schepen of burgemeester van Alkmaar: mr Gerrit Pietersz (doctor), stierf 1569-04-11","Bruinvis: Alkmaar no 102, p 18, 25",,
2013202,1300-01-21,Gerrit,Symonsz,"grafelijk leen in Rijnland: no 31) 10 morgen in Alphen, Gerrit, zoon van Simon Gorisz, mag geheel of ten dele verkopen zoals zijn vader kocht van Reiner de schout en aan graaf Floris V opdroeg",Ons Voorgeslacht 06-1987 p 400,,
2013203,1519-10-02,Gerrit,Roelofsz,"grafelijk leen: no 219) Madeland in Nieuwkoop, Roelof Gerritsz na dode van zijn vader Gerrit Roelofsz; 1530-09-19: Floris Jacobsz voor zijn kleinzoon Gerrit Roelofsz, na dode van zijn vader Roelof Gerritsz; 1542-05-09: Gerrit Roelofsz doet hulde","Ons Voorgeslacht 07/08- 1988 p 345, 346",,
2013204,1343,Gerrit,Rogiersz,"Aelbrechtsberg, van huur: Fem Rogiers 8 ½d, Gheraert Rogiersz 5d ","Rek Rentmeester Kennemerland dl II p 230, 232",,
2013205,1338,Gerrit,Feyenz,"Nortich, Norticherhout, Langevelt, van veenhuur: Ghered Feijenz 2sc, Diric Feijenz 2sc, Florans Feyenz 18d",Rek Houtvester dl VII p 104,,
2013206,1338,Gerrit,Reynersz,"Lisse, van veenhuur: Ghered Rynaersz 4sc",Rek Houtvester dl VII p 105,,
2013207,1468-10-25,Gheryt,Symonsz,heer Gheryt Symonsz; arbiter in het geschil tussen kerk- en H Geestmeesters van Noortich met Ewout Willemsz,Coll Aanw 240 fol 1342v,,
2013208,1468-07-29,Gheryt,Sybrandsz,Geryt Sybrantsz stelt een procureur,Coll Aanw 240 fol 1029v,,
2013209,1566-06-01,Gheryt,Pietersz,burgemeester van Alkmaar: mr Gheryt Pietersz,Grote Raad Mechelen Beroepen Holland dl VI dossier 599/2,,
