id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1112252,1327-11-10,"Loenersloot, van","bisschop Jan van Utrecht heeft 1000 £ Zwarte Tournoys geleend van de graaf van Holland, onder de borgen: heer Henrik van Loenresloot, deken van St Jan",Van Mieris II p 448,,,
1112253,1328-05-14,"Loenersloot, van","leen van Amstel: no 100) 12 morgen land in Jutfaes in de Batouw en 12 morgen in het nedereind van Jutfaes, Hugo van Loenersloot; 1390: Hugo van Loenersloot verkoopt 4 morgen en Floris van Palais verkoopt 8 morgen; 1397: zijnde ½ en ¼ van een hoeve; 1397-03-29: Jan die Bole, na dat de heren van Oudmunster ¼ als eigen verkregen van de vader van Hugo van Loenersloot, die als eigen verkreeg van Gysbert van Loenersloot, die hield; nadat Willem Govertsz, grootvader van Willem Bartholomeus de halve hoeve als eigen had gegeven aan de vader van Floris van Palais, alles na verzuim; 1439-03-24: Jan van der Meer met het geheel","Ons Voorgeslacht 09-1988 p 395, 396",,,
1112254,1328-05-14,"Loenersloot, van","leen van Amstel: no 11) het huis te Velde te Loenen met 120 morgen (met 20 morgen in 28 morgen ?), Hugo van Loenersloot; 1381-01-05: Hugo van Loenersloot bij dode van zijn vader Gysbert; 1390: Hugo van Loenersloot met de ledige hand; 1406-03-09: lijftocht van Johanna dochter van Frederic van Drakenburg, gehuwd met jonge Hugo van Loenersloot, op de woning en 20 oude Franse schilden op de 20 morgen; 1413-05-24: Steven van Loneersloot bij dode van zijn vader Hugo, waarna overdracht aan zijn neef Jan van der Meer ","Ons Voorgeslacht 09-1988 p 359, 360",,,
1112255,1333-08-30,"Loenersloot, van","leen van Amstel: no 5) een akker in Cranckenveen [= Ankeveen] in het gerecht van de heer van Abcoude, gemeen met de vrouw en kinderen van Jan Berensz, strekkende van de Horst tot Gooiland, belend boven: Gelpert weduwe van Jan Witte en kinderen, beneden: Beer Vorke, 1333-08-30: lijftocht van Sofia gehuwd met Dirc Jansz, oudste zoon van Jan Dircsz van Loenersloot; 1346: Dirc Jansz, belend noord: Pieter Vorc, zuid: Herman Cricke",R.A.H. no 34 Amstelland fol 53/Reg EL 31 fol 10/Ons Voorgeslacht 09-1988 p 356,,,
1112256,1346-06-01,"Loenersloot, van","lenen ontvangen in het land van Amstel, in Waverenveen: jonge Ysbrand 2 akker land gelegen bij heer Gijsbrecht van Loenersloot",Bijdr Hist Gen 1901 p 168/XVIII/Reg EL 5 fol 38r,,,
1112257,1346-06-01,"Loenersloot, van","lenen in het baljuwschap van Amstelland: no 117) - Otto Ghisebrechtsz 1 hoeve laagland te Minden in het gerecht van heer Ghisebrecht van Langherake, belend zuid: Ghisebrecht van Lonslote, noord: Jacob Akerman; no 15) - Symon van der Burch van Zudewoude, 4 morgen achter de kerk te Loenen, Cortemade, belend rondom: de kinderen van Loenreslote; leen in Amstelland: - Jan Coenenz 2½ morgen, belend aan beide zijden Everaet Lisenz [Loenen?]","Bijdr Hist Gen 1901 p 271, 272/XVIII/Reg EL 5 fol 96v/Ons Voorgeslacht 09-1988 p 401,402 en 361",,,
1112258,1346,"Loenersloot, van","lenen in het Bisdom: - ver Wendelmoetsz 1 ½ akker, belend noord: Ghisebrecht van Loendersloot, zuid: Ghisebrecht Moenenz; - H van den Groten huyze ½ hoeve in het gerecht van Ghisebrecht van Loenresloete in Mersenbroeck, belend noord: W Hugenz, zuid: de Zidewinde (1364 opgedragen tbv Herberen van Upburen); - Dieric van Gravensloete 6 morgen in Gravensloete in het gerecht van Ghisebrecht van Loenreslote","Bijdr Hist Gen 1901 p 150, 151",,,
1112259,1346-12-05,"Loenersloot, van","leen van Amstel: no 105) 5 morgen in Jutfaas in het gerecht van Willem van Duvenvoorde en de heer van Ysselsteyn, belend boven: de Rijndijk, beneden: Herman van Lokhorst, 1346-12-05: Gysbert Hasenbosch. 1392-04-05: Gysbert Hasenbosch draagt dit leen over aan Elsebeen dochter van Hugo van Loenersloot; 1396-01-02: Elsbeen krijgt van Jan van Clarenburg ten eigen",Ons Voorgeslacht 09-1988 p 398,,,
1112260,1376-10-27,"Loenersloot, van","schouwbrief van de watergang van de Rijndijk tot aan de Yssel, gemaakt door: Zweder uter Loe, domproost, Johan van Ven, abt van St Paulus, Gysbrecht van Vianen en van den Goye, Johan van Rinesse, ridder; Gysbrecht van Loenresloot, knape, Willem van der Weyde, burger te Utrecht","Codex Dipl Neerl serie 2 deel 4, afd 2 p 96",,,
1112261,1377-07-23,"Loenersloot, van","Margriete van Bare vrouwe van Zuilen, Frederik heer van Zuilen en Anholt, schildknaap, haar zoon, Elsebe, vrouw van Splinter van Loendersloot en jvr Bate, haar dochters, dragen enig veen te Westbroek over aan Arend van den Velde, burger te Utrecht. Alienora van Zuylen, vrouw van Frank van Borselen heeft reeds vroeger afstand van haar aandeel gedaan tbv haar moeder, broer en zusters, voornoemd","Berigten Hist Gen IV p 85/Archief Nijenrode, afschrift",,,
1112262,1380,"Loenersloot, van","schepenprotocollen 's Hertogenbosch: als kinderen van wijlen Stees van Brakel worden genoemd Jan, Gijsbert en Elisabeth gehuwd met Huge van Loenresloet",Ned Leeuw jg 1913 p 227,,,
1112263,1385,"Loenersloot, van","Gysbrecht van Nyenrode pacht van het kapittel van St Pieter te Utrecht het gerecht, de tienden en tinsen van Breukelerveen en Tienhoven onder Maarseveen",Berigten Hist Gen IV p 15/Ms L Opstraet van der Moelen,"borgen: Splinter van Loendersloot, ridder, Jacob van Zuylen, Alfer van Leegerhorst, Huge van Loendersloot, Hendrik van Vliet, Dirk van Rijn, Gerrit van Rynevelt, Ernst van Hinderstein, Jacob van Rietvelt, knapen",,
1112264,1390,"Loenersloot, van","leen van Amstel: no 114) 2 ½ morgen in Loenen in het gerecht van de bisschop, belend noord: Hein Boterman, oost: Claes die Roeper, west: de leenheer, zuid: de kerk van Loenen, 1390: Willem de Ledige met de ledige hand; 1393: Willem die Ledige ten eigen, belend noord: jonge Hugo van Loenersloot, zuid: de kerk van Loenen, west: de leenheer",Ons Voorgeslacht 09-1988 p 401,,,
1112265,1391,"Loenersloot, van","Wouter van Matenesse, knape, draagt over voor het gerecht van overmeer, tbv Alphert van der Horst, 17 morgen land gelegen aan het land van Spllinter van Loenresloot",Berigten Hist Gen III p 109,,,
1112266,1392-06-04,"Loenersloot, van","grafelijk leen in Rijnland: no 218) (218A) te Nieuwkoop 53 morgen, Dirc Gysbertsz van Loenersloot bij koop na dode van Hugo Snoye; 1393-05-17: lijftocht van Katharina Simon Hughen [Snoyendochter] gehuwd met Dirc Gysbertsz van Loenersloot; 1401-10-24: Dirc Gysbertsz van Loenersloot krijgt 45 morgen ten eigen voor 50 Gentse nobels, en de resterende 8 morgen zullen niet versterven; 1421-10-29: Dirc Gysbertsz van Loenersloot; 1429-03-28: Jan van der Mye, dienaar van de leenheer, bij overdracht door Dirc Gysbertsz van Loenersloot, met lijftocht van zijn vrouw Leeuwe, op de mindere helft",Ons Voorgeslacht 07/08-1988 p 343,,,
1112267,1393-01-06,"Loenersloot, van","hertog Albrecht beslist het geschil tussen verschillende steden van Holland en Otto van Arkel met zijn stedepoorters van Gorinchem enerzijds en Dordrecht anderzijds over het stapelrecht van Dordrecht, ten nadele van deze stad; onder de getuigen Splinter de Loenreslote",Kemp p 132; Lams p 29,,,
1112268,1300~1400,"Loenersloot, van","Gelre donne le blason de her Splinter van Loonresloet, homme de l'évèque d'Utrecht",De Raadt II p 368,,,
1112269,1393-1394,"Loenersloot, van","heer Splinter van Loenresloet huurt de tienden van Oudorp voor 4 £, en van Vroenregeest voor 9 £ 10 sc",Rek Rentmeester Kennemerland 829 fol 8v,,,
1112270,1396-12-15,"Loenersloot, van","leen van Amstel: no 113) 2 morgen in Loenen gemeen met Claes Rol, belend noord: Jacob Willemsz, zuid: Roemer Arnoudsz; 1396-12-15: Claas Rol, na koop nadat de erven van heer Splinter van Loendersloot, die gebruikten hadden laten verwilderen",Ons Voorgeslacht 09-1988 p 401,,,
1112271,1414-03-31,"Loenersloot, van","leen van Arkel: - het halve dorp Spijk, waar de kerk staat, heer Splinter van Loenersloot zoals hij en zijn ouders hielden van Arkel; 1450-11-30: Johan van Vuren Ottenz; - ⅓ deel van de tiende van het Oudeland van Dalem, 4 blokken tienden in Dalem, zijnde ¼, idem",Ons Voorgeslacht 02-1985 p 56; 01-1984 p 56,,,
1112272,1423-06-20,"Loenersloot, van",leenregister Culemborg 1410~: Manne:  Wolter van Loenresloet en Lambert van der Weteringe ,Leenregister Culemborg fol 7,,,
1112273,1441-08-20,"Loenersloot, van","Daniel van Loenersloot en Gerrit van Vliet in geschil over een tiende buiten Oudewater; voor de Raad niet tot overeenstemming gekomen: Daniel wilden niet omdat eerst zijn broer en daarna hij de tiende al 19 jaar in bezit hadden; de tiende wordt gedeponeerd bij de burgemeesters van Oudewater totdat de Raad uitspraak heeft gedaan; 1441-08-20: de Raad beveelt aan de burgemeesters van Oudewater om de tienden in Hooncoep bouten Oudewater te verkopen en de opbrengst in ""gewaerde hant"" te laten, tot de uitspraak","Mem Rosa dl IV-VI p 624, 625",,,
1112274,1445-04-14,"Loenersloot, van","leen van Culemborg: no 90) 4 morgen in t Goij in Dwarsdijk, genaamd Eersbil, strekkend zuid door de bandijk tot een waard van de leenheer, belend boven: erven Elias van Werkhoven, beneden: de Zydwinde; 1445-04-14: de leenheer mag lossen van Daniel van Loenersloot, knape, die zegelt, waarna overdracht aan zijn broer Adriaen die Valkenaar, bevestigd door Wouter, Jan en Beatrijs van Loenersloot, met lijftocht van Johan Valkenaar gehuwd met Margaritha, Adriaens ouders, eventueel te komen op Danel; 1452-12-12: Adriaen die Valkenaer",Ons Voorgeslacht 06-1987 p 372,,,
1112275,1445-04-14,"Loenersloot, van","leen van Culemborg: no 91) Honswyk, Daniel van Loenersloot, knape, te lossen de helft van de waarden of zanden die vallen in de Lek in het land van Hagestein, waarna overdracht aan zijn broer Adriaen Valkenaar, bevestigd door zijn broers en zuster, met lijftocht van Johan Valkenaar",Ons Voorgeslacht 06-1987 p 374,,,
1112276,1445-04-14,"Loenersloot, van","leen van Culemborg: no 98) Honswyk, Daniel van Loenersloot, een halve waard achter Everstein, overdracht aan Adriaan de Valkenaar; 1466-06-02: Adriaan die Valkenaar zegelt drie ruiten boven elkaar",Ons Voorgeslacht 06-1987 p 376,,,
1112277,1445-04-14 (1445-01-14),"Loenersloot, van","leen van Culemborg: no 99) 10 morgen in Honswyk, strekkende van de hofstede Bloemenstein tot aan de Lek, Daniel van Loenersloot, te lossen",Ons Voorgeslacht 06-1987 p 377,,,
1112278,1445-04-14,"Loenersloot, van","leen van Culemborg: no 127) Schalkwyk, de oude hofstede van Schalkwijk, waar het huis te Schalkwyk op stond met 23 (24) morgen land, strekkende van de Schalkwijker wetering tot de Lek en Honswyker wetering, belend boven: Willem Doys met leen van Loenersloot, beneden: de nieuwe wetering; 14--: Wouter van Loenersloot, als getuige vermeld 1424; 1445-04-14: Daniel van Loenersloot",Ons Voorgeslacht 06-1987 p 386,,,
1112279,1452-04-23,"Loenersloot, van",vonnis der leenmannen van Nyenerode in de zaak tussen Johan van Nyenrode en Gysbert Dorlant,Berigten Hist Gen IV p 96/Orig Arch Nyenrode,"zegels: Jan Zwedersz van Ruwiel, Willem Jansz van Loenersloot, Gerrit van Vliet [Wernaarsz]",,
1112280,1466-07-23,"Loenersloot, van","leen van Culemborg: 4 morgen in t Goij in Dwarsdijk, genaamd Eersbil, strekkend zuid door de bandijk tot een waard van de leenheer: lijftocht voor Jutte Melijsdochter uijt den Enge, vrouw van Daniel van Loenresloot; 1467-10-05: Bernt Aryaen Velkenersz, onmondig, na dode van zijn vader, Aryaen Velkenair Henricsz is hulder; 1478-02-11: Margaryet Aryaen Valkenarsdochter, vrouw van Goessen van Bemmel, na dode van haar broer Bernt, haar man is hulder en haar moeder Jutte behoudt de lijftocht",R.A.Arnhem: P v Schilfgaarde: Repertorium Lenen van Culemborg,,,
1112281,1454-09-22,"Loenersloot, van","Gysbrecht van Nyenrode beleent zijn nicht Fye Steven Mombersdochter, vrouw van Gerrit Gerritsz met een morgen land te Breukelen; 1463-06-02: hij beleent zijn neef Gerrit van Eemskerk met enige landerijen te Maasland, de Lier en Naaldwijk","Berigten Hist Gen IV p 97, 103/Arch Nyenrode","getuigen: Willem Jansz van Loendersloot, Hendrik Krook Aalbertsz; 1463: Willem Jansz van Loendersloot",,
1112282,1471-09-25,"Loenersloot, van",Gysbrecht van Nyenrode heer van Zuylen en St Maartensdijk beleent een halve akker land te Wilnis,Berigten Hist Gen IV p 104/Arch Nyenrode,"getuigen: zijn broer Jan van Nyenrode, Hendrik bastaard van Nyenrode, Cornelis Willemsz van Loendersloot",,
1112283,1482-08-06,"Loenersloot, van","grafelijk leen: no 219) Madeland in Nieuwkoop, Cornelis Willemsz van Loenersloot voor zijn vrouw Dieuwer Adriaen van der Myendochter, na dode van haar vader; 1517-06-10: Dirc Ogiersz van Sonnevelt, zoon van Aleid Roelofsdochter bij overdracht door Dirc Dircsz voor Dieuwer van der Mye, zijn grootmoeder, met de helft en haar lijftocht; 1517-09-18: Gerrit Roelofsz na dode van Dieuwer met het geheel",Ons Voorgeslacht 07/08-1988 p 345,,,
1112284,1556-03-10,"Loenersloot, van","Jan Jansz uten Ham, na dode van zijn vader Jan Jansz beleend met 2 morgen land in Horsterweerde [Nederhorst] in Peters Jan Tubben lant, dat in voortijden geweest es Jan Ricoutsz, belend zuid:  Dierick van Zweeten, dat heren Henricx van Loenresloets ridders geweest is, noord: dat capittel van St Marie te Utrecht",Rep Stichtse Leenprotocollen p 501,,,
1112285,1577-07-23,"Loenersloot, van",jhr Jan van Loenersloot: zijn kandidatuur voor het schoutsambacht van Alkmaar afgewezen daar hij buiten Holland geboren was (aan de prins van Oranje),Bruinvis: Regering van Alkmaar p 7,,,
1112286,1588-05-13,"Loenersloot, van","jhr Jan van Loenersloot: substituut schout, treedt op als getuige bij een poorterinschrijving te Leiden",Ned Leeuw jg 1915 p 117,,,
1112287,1630-07-09,"Loenersloot, van","gedoopt Nieuwe Kerk Amsterdam: Krystina, kind van Sybert Vijssius en Renten Kaerle, getuige: Cristijn van Loendersloot",G.A. Amsterdam DTB no 41 fol 44,,,
1112288,1658-03-25,"Loenersloot, van","Wolfert van Loenersloot, secretaris der heerlijkheid Petten en Nollemerban",O.R.A. Transportregister Zijpe 6533 fol 160v,,,
1112289,1691-10-30,"Loenersloot, van","losrenten kantoor Enkhuizen: verschijndag 1693-10-28, Cornelis Pietersz Londersloot,  fl 330 - fl 12 en Antjen Pieters Londersloot, idem; 1694-07-09: lijfrenten Enkhuizen, Pieter Cornelisz Pronck en Simon Jansz de Jong als voogden, 300 gld ten lijve van Antje Pieters oud 16 jaar, daar vader af was Pieter cornelisz Londersloot en moeder Hendrickje Claes, fl 27",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,
1112290,1477-1500,"Loenersloot, van",genoemd als edele van Utrecht: Hugo van Loendersloot; 1225: Hendrik van Loenresloot; begin 15e eeuw: Beatrix van Loendersloot x Willem van Adrichem  ,"Batavia Illustrata bl 756, 1201, 827/Wapenheraut jg III p 98",,,
1112291,1333-12-05,Loenman,"voor schepenen in Tiel schenken Agnes weduwe van Herman Lubbertsz Roesman en Lubbertus dictus Roesken zoon van Lubbert Roesman junior aan de abdij Marienweerd een rente van 40 sol uit 1 ½ jugera land in de Hemert, in de Polacker, tussen land van de abdij en Henricus dictus Loenman",Cartul Marienweerd no 421,,,
1112292,"1418, 1473",Loenman,"schepen van 's Hertogenbosch: Jan Loenman, zegel: vijfpuntige ster; 1473: Jan Loenman zoon van Jan Loenman",Navorscher 1890 p 580,,,
1112293,1176-03-09 - 06-18,"Loerik, van","bisschop Godfried beslecht de twist over de hof te Beusichem tussen het kapittel van St Jan te Utrecht en Iwainus de Gokesforde, de hof die eertijds door het kapittel gekocht was; onder de getuigen o.a. Wilhelmus de Lureke",Oorkbk Sticht Utrecht no 485,,,
1112294,1410~,"Loerik, van","leenregister Culemborg: - Alart van den Wale dat zijn broeder Jan van de Wale opdroeg ½  van 9 morgen waarvan de andere helft aan  Wolter Kovoet van Bonendael toebehoort, in den heerscap van der Goye, op de Gheenkensdamme: -1 acker, belend boven: de Goywetering, beneden: Alart van Loerick; - 2 akker boven de kerk van Houten, Zweder van Loerick en Henrick Schaden erfgenamen, beneden: Elyaes van Werconden",Leenregister Culemborg fol 81,,,
1112295,1400,"Loereward, van","agri in Nonngeholt in parochia de Meer 22 maldrata : Henricus van der Stegen, Bernardus Avercamp en Theodericus de Lorewart; - 10 scepelinis Gerardus zoon van Matheus van der Stegen alias de Loerwart en zijn vrouw Bela et dabunt 1 ½ mal ordei",Memorien Stift Xanten p 242,,,
1112296,1424,"Loereward, van",Meer inferior: Hermannus van Loerewart 4 sol leves et 6 den leves et 2 pullos de vina casa et sex maldratis terre in Rekene et bonis novalibus capientibus 3 maldrata,Quellen Stift Xanten p 523,,,
1112297,1450~,"Loereward, van","Proosdij Xanten: curtis in Loerewert, Theodericus de Lorewert senior, is aan Dirk voor zijn leven gegeven voor 5 ½ Flor per jaar","Quellen Stift Xanten p 28, 29",,2 blz over deze zaak,
1112298,"1357, 1358","Loet, van","Jordaen van Loet ontvangt 80 ½ vieux écus (1357-07-17), guerre de Flandre; zijn broer Jean van Loet 30 vieux écus (1357-10-13); 1358-03-25: Jourdain en Jan 23 vieux écus, 1358-06-30: beide broers ontvangen 78 vieux écus","De Raadt II p 338/Chartes Ducs de Brabant no 1188, 1468, 1589, 1661",,,
1112299,1374,"Loet, van",Rikaert van Loet jadis prisonnier à Basweiler sous sire de Schoonvorst,De Raadt II p 369/Chartes Ducs de Brabant ,,,
1112300,1389,"Loet, van","Jean van Wyenhorst, maréchal héréditaire du duc de Berg ratifie la vente, faite par Arnould de Alpheym seigneur de Honnepel et sa femme Marguerite de l'avourerie de Mentzel, met zegel van Jordain van Loethe, échevin de Berk (Rheinberg)","De Raadt II p 338, IV p 261/Düss Cologne no 1118",,,
1112301,….-02-12,"Loet, van","memorie van Frederici, plebani, Godefridi de Loet et Henrici de Gruythuys (p 19); ....-05-30: memoria Godefridi de Loyt, canonici Xantenis, de 1 mark de domo Johannis de Eijl (p 70); ....-05-03: stierf Godefridus de Loijt, canonicus Xantensis, 2 sol ex domo Henrici Vogel in Blindestege te Xanten retro domum Minte de Monumento, nunc Theoderici Rense, nunc Gerardi Beeckman, nunc Drude Goswini (p 289); ....-08-17: memoria Johannis Spiker, Drude uxoris Johannis de Loit, et Aleidis, uxoris Henrici Ottonis, de 1 malder ordei de bonis emptis erga Stinam de Bellinchaven (p 100)",Memorien Stift Xanten,,zonder jaartal,
1112302,1300~,"Loet, van","de siligine et avene in Boeckelt: - curia ten Hagen mal silig et 2 mal avene, dominus Jurdanus de Loijthe colit; - bona domum Jurdam de Loythe de bonis ten Bungarth, mal siliginis et ½ mal avene",Quellen Stift Xanten p 441,,,
1112303,1190-1205,Loet,"curtis in Rottum, de Lote: Amplonius 26d",Quellen Stift Xanen p 511,,,
1112304,1331-04-04,"Loet, van","Everardus de Loet, richter in Rynaren",Urkunden Stift Monterberg-Kleve regest 75 p 21,,,
1112305,"1349, 1358","Loet, van","uitgaven bursa Xantensis: Godefridi de Loijt pro sextario vini propinato cononicis Wischelensibus 2 sol; 1358: ad pensiones: - Hadewyc de Loet et Elisabeth de Werthusen pro 17 florenis 8 marc et 21 d; - Hadewijc de Loet pro alia pensione 4 mark: 1356, 1357: dezelfde posten (p 155)","Quellen Stift Xanten p 174, 175",,,
1112306,1349-1350,"Loet, van",Claes van de Loete: van de lande van Vronen; 1350-1351: idem 8 geersen in Vronen 42 sc 8d,"Rek Rentmeester Kennemerland 798 fol 11, 799 fol 16v",,,
1112307,1366,"Loet, van",de memorie van Godefridus de Loet kost de kelnerij van Xanten 1 mark,Quellen Stift Xanten p 161,,,
1112308,1394,"Loet, van","census in platea Marstrate te Xanten:  de domo Johannnis de Leuijt, 1 mark",Quellen Stift Xanten p 318,,,
1112309,1400,"Loet, van","pachtregister van de kelnerij, decima Veyrwegh: 7 mal silig 24 mal ordei, 27 mal communis; principales: Johannes de Loit, Hermannus Deani, Joh filius ejus et Henricus Bouman",Quellen Stift Xanten p 164,,,
1112310,1400,"Loet, van","1 mark pro memoria Frederici plebani Xanctensis, canonicus Xantensis dominus Godefridus van Loet et Henrici de Gruythuys",Memorien Stift Xanten p 225,,,
1112311,1424,"Loet, van","Guterswick: Jordanus de Loyth 5 sol graves et 2 sol leves de bonis suis ibidem sitis dictis Stekamp, relicta Proytz",Quellen Stift Xanten p 520,,,
1112312,1414,"Loet, van","Gosswin Stecke, oom van Herman van Loyte",De Raadt III p 475/Düss Cleves Mark no 721,,,
1112313,"1414, 1417","Loet, van","Herman van Loete geeft lijftocht aan zijn vrouw Griete, natuurlijke dochter van Adolphe comte de Cleves et de la Mark; 1417: Herman van Loete, drossaard van Ringenberch","De Raadt II p 338/Düss Cleves Mark no 721, 746",,,
1112314,1416,"Loet, van","Jourdain van Loete; 1417: Jean van Loet, erfpachter, zegelt een akte van Gertrude van Zevenaer, ook zegelt hij samen met Borchaert van der Molen een akte van Henri Hellinck; 1418: de broers Jourdain en Herman van Loyte, mannen van de comte van Cleves","De Raadt II p 338/Düss Cleves Mark no 741, 756; Düss Bedbur no 73 en Geld",,,
1112315,1322-02-14,Loeten,"Mabelia, abdis van Rijnsburg, machtigt broeder Dirc Loeten alle opdrachtbrieven van Willem Aalbrechtsz van Ockenbergh in ontvangst te nemen",Reg Hann p 102,,,
1112316,1470~,"Loet, van","officum camere Xantensis: in Goeterwick de bonis in Mullem, Arnoldit de Loet en zijn vrouw Hille, 22 d graves",Quellen Stift Xanten p 381,,,
1112317,….-08-11,Loef,"stierf Syfridus Loef, 1 marc de domo sua, nunc Gerardi Revelinc",Memorien Stift Xanten p 97,,,
1112318,1206-1226,Loef,getuige voor de abt van Egmond: o.a. Ysbrandus Loef of Loef; 1230-04-23: idem,"Bijdr Hist Gen 1914 p 39/v.d. Bergh I no 377, 319",,,
1112319,1213-10-15,Loef,Otto bisschop van Utrecht vergunt aan de abdij Marienweerd op haar goed te Naaldwijk een kapel te stichten; getuige o.a. Arnoldus Loef,v.d. Bergh II Nal no 9,,,
1112320,1224,Loef,getuige voor Giselbert van Aemstel: Arnoldus Loef; 1226-01-26: idem getuige: Arnoldus Luf; 1226-03-29: getuige: Arnoldus Louf; 1226: Arnoldus Loiff,"v.d. Bergh I no 288, 294, 296; Van Mieris I bl 204",,,
1112321,1282-11<,Loef,lenen ten tijde van Floris V: no 124) Jacob Loef houdt in leen 1 garde breit tussen Jan van den Werve en de mindere helft houdt zijn broer  Arnout en Dideric Loef van hem [bij Voorburg?],De Fremery no 228,,,
1112322,1285-10-27,Loef,"grafelijk leen: - Vrederic heer Loefsz 12 morgen, waarvan 6 morgen op Bilenvelt en 6 morgen in Vlotenrecht; - Ghysbrecht Loefsz leen, 3 £ uit zijn woning te Oechusen [onder Themaat bij Haarzuilens]",Bijdr Hist Gen jg 1901 p 157/Reg EL 5 fol 33r,,,
1112323,1288-07-10,Loef,"Loef de Boetberg, randschrift: Luijf de B….... [de Raadt: Leo de Boetberg]",De Raadt I p 344,,,
1112324,1289-05-14,Loef,"Jacobus abt van Marienweerd en Johannes abt van Averbode oorkonden dat Willem, Paulus en Gillis van Meyloefskerke hun tiende van Pekelinge aan de abdij van Middelburg afstaan",De Fremery no 257,"zegels van Symon, rector van de kerk van Oestsubburgh en magister Willelmus Loef, fisci",,
1112325,1294-01-10,Loef,"Wisse Gillisz van Koudekerk staat al zijn ambacht in Walcheren aan graaf Floris V af, tot regeling van zijn schulden, volgens uitspraak van mr Willem Loef en Symon van der Hoghe als zegslieden",v.d. Bergh II no 871,,,
1112326,1295-03-26,Loef,"overeenkomst tussen jvr Bela Gillisdochter van Coudekerke en broeder Bartoet Radinc, commandeur van het Duitse huis te Zandvoort, over een lijfrente haar door de vroegere commandeur Jan van Popkineborgh toegezegd: 2 ½ gemet land voor Wissen van Coudekerke's huis",v.d. Bergh II no 900,"uitspraak door de abt van Middelburg, de gardiaan aldaar en meester Willem Loef",,
1112327,1295-05-05,Loef,"Floris, abt van Egmond oorkondt dat wijlen abt Lubbert in leen gaf aan Johannes dictus de Mazelant en zijn nageslacht 8 morgen akkerland in Mazeland. De abt geeft nu dit leen aan de zoon van Johannes, Jonas Terse",v.d. Bergh II no 907,"in presentia quondam feodalium nostrae ecclesiae videlicet: Thome de Nortich, Petri de Scije, Loef de Egmunda [Ysbrand Loef?]",,
1112328,1297-01,Loef,"isti sunt de Portvliet qui debent comiti pecuniam in festo beati Remiggi persolvendam: Yo en zijn zoon Busekinus, Beye, Versynghe, Petrus zoon van Henricus Coperens, Loef, Landrinus, 70 £ Holl",Bijdr Hist Gen 1901 p 284,"borgen: Elboldus zoon van Henricus Scultetus, Hugo zoon van Agathe",,
1112329,1300~,Loef,"decima in Bislick ex Varnem: Gerardus Luf de bonis Clunkart, 2 vasa ordei; ex Wisscel: Luf de bonis Averslege et de Schuren, 2 vasa tritici, 2 vasa ordei et 2 vasa avene","Quellen Stift Xanten p 412, 413",,,
1112330,1307-05-05,Loef,"Dietrich genaamd Corte Luf, ridder, getuige voor het Stift Xanten; 1311-07-02: Ritter Dietrich genaamd Korteluf, borg voor graaf Dietrich von Cleve",Cleve Mark Urkunden 1223-1268 no 123 p 74,,,
1112331,1317-01-09 (1316),Loef,"Jan Louf mag van de graaf ten vrijen eigen 26 roeden land te Voorburg verkopen, gekocht door heer Dieric van Suytwyck en Mauryn van Stonwyck [=Stompwijc]",A.R.A. Leenkamer 23 Copie fol 6v/Reg EL 2 fol 2v,,,
1112332,1317-02-26 (1316),Loef,"graaf Willem oorkondt dat zijn camerlinc Philipsz van Duvenvoorde 25 £ Holl per jaar krijgt uit de tiende van Hazaerdwoude, in dezelfde manier als mr Willhem Louf en heer Pieter van Leyden",Van Mieris II p 168/A.R.A. Copie Leenkamer 23 fol 17v/Reg EL 2 fol 5v,,,
1112333,1318-12-20,Loef,"Jan van Bergen beleent te Langeveld [te Castricum] twee geersen en 1 ½ C aan G(errit) Dierixsz veren Haduenz, na de dood van zijn broer Loef",Reg Hann p 78/Reg XVIII fol 85; Bijdr Hist Gen jg 1901 p 249/Reg EL 5 fol 67,,,
1112334,1327-04-01,Loef,"Gerardus en Henricus Spronc, zoons van Loef Spronc, doen afstand van al hun erfenis in Eynspyc super antiquam pascuam, quam hereditatem Gherbrandus de Beesde aan Marienweerd verkocht heeft, zoals in de doorgestoken brief vermeld (1326-02-26)",Cartul Marienweerd no 278,,,
1112335,1330-07-16,Loef,voor schepenen in Santbomel verkoopt Johannes zoon van Johannis de Vico 3 jugera land te Driel aan Marienweerd en ontvangt het weer in erfpacht,Cartul Marienweerd no 374,"borgen: Arnoldus zoon van Johannis de Vico,  Theodericus zoon van Loef",,
1112336,1334,Loef,"ontvangsten in Noordholland: de renten in het Haghe ambacht, up die Gheest: Arnd Loef, 3 sc 8d",Rek Hen Huis I bl 178,,,
1112337,1336-01-22,Loef,"Mabilia weduwe van Arnoud de Wilde met haar voogd Willem, heer Jan de Wilde en Willem, mede namens hun broer Wouter en Ede met haar voogd Stasen Loefsz [Eustatius (Ysbrand) Loefsz], alle kinderen van haar, en draagt op alle lijftocht en rechten die zij had op het huis en erf dat vroeger van Arnoud de Wilde was, gelegen te Schoten",Reg EL 39 fol 26,,,
1112338,1338,Loef,"Gobel Loef van Buslar, homme du comte de Looz seigneur de Heinsberg",De Raadt I p 352/Düss Jul Berg no 414,,,
